series_id,n_train,blocked,forecastability_class,recommended_families,triage_model,smape_triage,smape_naive,mase_triage,mase_naive,smape_arima,mase_arima,smape_ets,mase_ets,oracle_model,triage_matches_oracle,route_type,triage_wins,error
M15297,157,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,4.080636878136321,5.35579381694103,0.6112623720537684,0.7846948164433373,4.080636878136321,0.6112623720537684,4.547729085729639,0.6828548735055069,AutoARIMA,True,complex_routed,True,
M15559,700,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,5.1841501017529685,5.726259513646613,1.8297907311483326,1.9693889473069284,5.1841501017529685,1.8297907311483326,7.447826185676459,2.6525042540595356,AutoARIMA,True,complex_routed,True,
M15702,172,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,2.88428711595851,3.3070104902150663,0.6898229312105201,0.782064329108459,2.88428711595851,0.6898229312105201,2.293228795628087,0.5482450012941068,ETS,False,complex_routed,True,
M1624,288,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,4.854437804673353,8.1997640286666,0.9024433648311078,1.4916266666666667,4.854437804673353,0.9024433648311078,5.004393773679645,0.928889269413738,AutoARIMA,True,complex_routed,True,
M16463,299,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,40.57048440268641,37.83198698630431,0.6015802414157633,0.580678398579967,40.57048440268641,0.6015802414157633,42.914971810930375,0.6585398372009393,SeasonalNaive,False,complex_routed,False,
M1701,264,False,high,seasonal_naive|harmonic_regression|tbats,ETS,5.202395435597339,5.4948913099537675,0.8093353602399858,0.8442808607021518,4.514667805982779,0.7126184711311914,5.202395435597339,0.8093353602399858,AutoARIMA,False,complex_routed,True,
M17229,134,False,high,seasonal_naive|harmonic_regression|tbats,ETS,29.06665078357711,40.438567487739164,4.0532520850761244,5.252023201568596,12.928981500843939,1.989847953461379,29.06665078357711,4.0532520850761244,AutoARIMA,False,complex_routed,True,
M21439,156,False,high,seasonal_naive|harmonic_regression|tbats,ETS,7.280174450044546,9.215310766142135,1.1399957111906533,1.3999215704366683,6.66382940622729,1.0468679365341382,7.280174450044546,1.1399957111906533,AutoARIMA,False,complex_routed,True,
M2144,132,False,high,arima|ets|linear_state_space,AutoARIMA,3.047993245798041,6.214390434898586,0.698195157733692,1.4569536423841059,3.047993245798041,0.698195157733692,2.8430217032450793,0.6501705406540008,ETS,False,complex_routed,True,
M21853,288,False,high,seasonal_naive|harmonic_regression|tbats,ETS,1.8189597169217444,1.3029249320985397,0.7767092561685687,0.5633722586157789,1.0243907188191392,0.4393407366315353,1.8189597169217444,0.7767092561685687,AutoARIMA,False,complex_routed,False,
M230,151,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,1.2088562809605279,1.8948062965358674,0.787701411293793,1.2319884041440927,1.2088562809605279,0.787701411293793,1.6112738508841957,1.052365100678808,AutoARIMA,True,complex_routed,True,
M23374,288,False,high,seasonal_naive|harmonic_regression|tbats,ETS,0.8627496105305159,1.2310958775094096,0.32673452212826853,0.46908683853009314,0.8365172989062324,0.3147734872732174,0.8627496105305159,0.32673452212826853,AutoARIMA,False,complex_routed,True,
M24120,166,False,high,naive,SeasonalNaive,4.901325922973547,4.901325922973547,0.5380230691593992,0.5380230691593992,14.479956261573681,1.5416500769021142,13.829972028895146,1.477309639668661,SeasonalNaive,True,naive_routed,False,
M24533,414,False,high,arima|ets|linear_state_space,AutoARIMA,1.9653686623291797,2.042707143422369,0.8309996108359554,0.8670254031719116,1.9653686623291797,0.8309996108359554,1.9604882145213873,0.8296615699345316,ETS,False,complex_routed,True,
M24674,316,False,high,arima|ets|linear_state_space,AutoARIMA,7.78907816814671,14.224546629736542,0.9756674804344603,1.7291610189117061,7.78907816814671,0.9756674804344603,7.962542008307611,0.9944949466251194,AutoARIMA,True,complex_routed,True,
M2542,615,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,1.6003752202857036,7.063046329733193,0.3770954034673061,1.6085916487027694,1.6003752202857036,0.3770954034673061,1.3792051453822678,0.3258926609857008,ETS,False,complex_routed,True,
M25715,336,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,14.412848467110695,9.289104823351375,0.9359703501010458,0.5888408732448212,14.412848467110695,0.9359703501010458,12.876410714121578,0.8276076672674008,SeasonalNaive,False,complex_routed,False,
M25803,173,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,3.910178285897697,2.569612093088341,1.0345993755810765,0.6872464797037169,3.910178285897697,1.0345993755810765,3.4366405740859993,0.9127108268323165,SeasonalNaive,False,complex_routed,False,
M25919,432,False,high,arima|ets|linear_state_space,AutoARIMA,1.5125452644200794,1.169574735742273,0.9382663074103912,0.7272284386638278,1.5125452644200794,0.9382663074103912,1.1307478075433002,0.7033799570808458,ETS,False,complex_routed,False,
M25923,432,False,high,seasonal_naive|harmonic_regression|tbats,ETS,1.2692230060044878,1.2456445833317173,0.5912829889843242,0.5743791378346693,1.1182167189891337,0.5202108929131238,1.2692230060044878,0.5912829889843242,AutoARIMA,False,complex_routed,False,
M26468,267,False,high,arima|ets|linear_state_space,AutoARIMA,6.0400969388507955,5.70525309092057,0.5322199707612757,0.5036485697606539,6.0400969388507955,0.5322199707612757,6.252979974854382,0.5520107433243835,SeasonalNaive,False,complex_routed,False,
M2691,215,False,high,arima|ets|linear_state_space,AutoARIMA,0.7765931085158692,3.4094364877825196,0.18714537271854903,0.8065319865319865,0.7765931085158692,0.18714537271854903,1.0486703082061115,0.25362490094184204,AutoARIMA,True,complex_routed,True,
M2719,215,False,high,arima|ets|linear_state_space,AutoARIMA,1.0475616804693983,5.811051989991698,0.2714458771248761,1.444372574385511,1.0475616804693983,0.2714458771248761,2.5235369290646177,0.6517397797839888,AutoARIMA,True,complex_routed,True,
M28017,615,False,high,arima|ets|linear_state_space,AutoARIMA,0.5964031210967097,2.1792236710521147,0.32972398472184783,1.1942584065856192,0.5964031210967097,0.32972398472184783,0.9349135075346278,0.5210310106420851,AutoARIMA,True,complex_routed,True,
M28119,216,False,high,arima|ets|linear_state_space,AutoARIMA,2.2670978222837044,1.3167505165688107,1.05147781445156,0.6072339786882786,2.2670978222837044,1.05147781445156,2.1361899547670102,0.9902745487601622,SeasonalNaive,False,complex_routed,False,
M28177,193,False,high,arima|ets|linear_state_space,AutoARIMA,4.137510334299331,1.9444041814633761,1.3293506212382256,0.6128695282891882,4.137510334299331,1.3293506212382256,4.539745112704516,1.4628078165217284,SeasonalNaive,False,complex_routed,False,
M2820,206,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,13.423675754435568,11.99872079559843,0.5107251106752786,0.46557084355033973,13.423675754435568,0.5107251106752786,13.407925443225324,0.5101745550589742,SeasonalNaive,False,complex_routed,False,
M28352,205,False,high,seasonal_naive|harmonic_regression|tbats,ETS,0.2180970780653608,0.4174225222290013,0.11293142349924727,0.21655143134400778,0.3368660442156134,0.17414860790462577,0.2180970780653608,0.11293142349924727,ETS,True,complex_routed,True,
M2843,144,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,19.432569897188028,17.440465889939336,1.6459355870244137,1.4845314981184157,19.432569897188028,1.6459355870244137,20.161674255713972,1.7012868920066253,SeasonalNaive,False,complex_routed,False,
M28565,216,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,2.4811445311788005,2.2279101992409265,0.8493850613019133,0.7613086770981508,2.4811445311788005,0.8493850613019133,2.22789264399473,0.7636318642706386,ETS,False,complex_routed,False,
M28572,216,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,11.895153171234425,11.566666314400484,1.4793842335357432,1.424527923835074,11.895153171234425,1.4793842335357432,12.260564353007682,1.5371079528960232,SeasonalNaive,False,complex_routed,False,
M2898,227,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,4.307808157101131,8.403057531708937,0.7333205678628525,1.3910287941330521,4.307808157101131,0.7333205678628525,4.883937280976413,0.8284871380263313,AutoARIMA,True,complex_routed,True,
M29089,288,False,high,arima|ets|linear_state_space,AutoARIMA,1.808527402304573,8.68821156682604,0.2587389952564972,1.1811336717428087,1.808527402304573,0.2587389952564972,6.44785987497494,0.8915253992706192,AutoARIMA,True,complex_routed,True,
M29189,288,False,high,seasonal_naive|harmonic_regression|tbats,ETS,3.8397893307759077,7.051937210707636,1.6514213683394283,2.9752178649237475,1.221147673345173,0.532354066912123,3.8397893307759077,1.6514213683394283,AutoARIMA,False,complex_routed,True,
M29385,288,False,high,arima|ets|linear_state_space,AutoARIMA,4.747812750947586,5.254458374308424,1.4480710765937048,1.5926854172468208,4.747812750947586,1.4480710765937048,4.7744947715589685,1.456589594677523,AutoARIMA,True,complex_routed,True,
M30069,288,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,0.6246917970735621,0.7017300237832003,0.17703970405596509,0.19885349121323184,0.6246917970735621,0.17703970405596509,0.6417103591040164,0.1817933730073915,AutoARIMA,True,complex_routed,True,
M30132,288,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,1.7135193223832959,3.7475189484127895,0.3617568147986256,0.753755120619026,1.7135193223832959,0.3617568147986256,2.6945276284667155,0.5728665207479482,AutoARIMA,True,complex_routed,True,
M30547,215,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,0.9858019209074105,1.4323925828481965,1.3683910483324593,1.9947089947089949,0.9858019209074105,1.3683910483324593,1.342003924959088,1.8685976225669507,AutoARIMA,True,complex_routed,True,
M30963,222,False,high,arima|ets|linear_state_space,AutoARIMA,16.251296778672238,37.76426135698102,1.2202890820023744,2.535529027215235,16.251296778672238,1.2202890820023744,14.414310756517935,1.0833008654616056,ETS,False,complex_routed,True,
M31563,414,False,high,arima|ets|linear_state_space,AutoARIMA,6.641491804663362,6.550935704811475,1.0053422626067288,0.9902279605682571,6.641491804663362,1.0053422626067288,4.323291701473181,0.6641689798952749,ETS,False,complex_routed,False,
M31613,381,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,28.07657934700339,20.482332071148406,2.6395678352155763,1.8454774844720496,28.07657934700339,2.6395678352155763,16.186157098656263,1.3669548311817703,ETS,False,complex_routed,False,
M31858,229,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,10.885446733820162,31.937131727381413,0.39867754333422817,1.2738083505039273,10.885446733820162,0.39867754333422817,9.429083632060593,0.3485300964627864,ETS,False,complex_routed,True,
